id,Action,FieldID,FieldType,FieldValue,Result
1,NAV,xPath,null,null,Pass
2,SET,connect,DDL,Detail,Pass
3,SET,gateway,DDL,Detail,Pass
4,SET,radioStatus,DDL,Detail,Pass
5,SET,sysConfig,DDL,Detail,Pass
6,SET,system,DDL,Detail,Pass
7,SET,switchConfig,DDL,Detail,Pass
8,SET,networkConfig,DDL,Detail,Pass
9,SET,network,DDL,Detail,Pass
10,SET,serial,DDL,Detail,Pass
11,SET,lcli,DDL,Detail,Pass
12,SET,osal,DDL,Detail,Pass
13,SET,flash,DDL,Detail,Pass
14,SET,message,DDL,Detail,Pass
15,SET,syslog,DDL,Detail,Pass
16,SET,upgrade,DDL,Detail,Pass
17,SET,cli,DDL,Detail,Pass
18,SET,snmp,DDL,Detail,Pass
19,SET,lldp,DDL,Detail,Pass
20,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[2]/button[2],text,Apply &Save,Pass
21,CLICK,xpath=//html/body/div/div[2]/div/div/form/div[2]/button[3],text,Refresh,Pass
22,GET,connect,DDL,0,Pass
23,GET,gateway,DDL,0,Pass
24,GET,radioStatus,DDL,0,Pass
25,GET,sysConfig,DDL,0,Pass
26,GET,system,DDL,0,Pass
27,GET,switchConfig,DDL,0,Pass
28,GET,networkConfig,DDL,0,Pass
29,GET,network,DDL,0,Pass
30,GET,serial,DDL,0,Pass
31,GET,lcli,DDL,0,Pass
32,GET,osal,DDL,0,Pass
33,GET,flash,DDL,0,Pass
34,GET,message,DDL,0,Pass
35,GET,syslog,DDL,0,Pass
36,GET,upgrade,DDL,0,Pass
37,GET,cli,DDL,0,Pass
38,GET,snmp,DDL,0,Pass
39,GET,lldp,DDL,0,Pass
40,SET,connect,DDL,Debug,Pass
41,SET,gateway,DDL,Debug,Pass
42,SET,radioStatus,DDL,Debug,Pass
43,SET,sysConfig,DDL,Debug,Pass
44,SET,system,DDL,Debug,Pass
45,SET,switchConfig,DDL,Debug,Pass
46,SET,networkConfig,DDL,Debug,Pass
47,SET,network,DDL,Debug,Pass
48,SET,serial,DDL,Debug,Pass
49,SET,lcli,DDL,Debug,Pass
50,SET,osal,DDL,Debug,Pass
51,SET,flash,DDL,Debug,Pass
52,SET,message,DDL,Debug,Pass
53,SET,syslog,DDL,Debug,Pass
54,SET,upgrade,DDL,Debug,Pass
55,SET,cli,DDL,Debug,Pass
56,SET,snmp,DDL,Debug,Pass
57,SET,lldp,DDL,Debug,Pass
