id,Action,FieldID,FieldType,FieldValue,Result
1,NAV,xPath,null,null,Pass
2,SET,vlanAwareEnable,checkbox,on,Pass
3,SET,providerBridgeEnable,checkbox,on,Pass
4,SET,xpath=//input[@name='defaultVlanID'],text,1,Pass
5,CLICK,xpath=//html/body/div/div[2]/div/div/form/div/button[1],text,Apply,Pass
6,CLICK,xpath=//html/body/div/div[2]/div/div/form/div/button[2],text,Apply & Save,Pass
7,CLICK,xpath=//html/body/div/div[2]/div/div/form/div/button[3],text,Refresh,Pass
8,GET,vlanAwareEnable,checkbox,on,Pass
9,GET,providerBridgeEnable,checkbox,on,Pass
10,GET,defaultVlanID,text,1,Pass
11,SET,xpath=//input[@name='port1Alias'],text,Sw_Eth_1,Pass
12,SET,xpath=//input[@name='port1Mode'],DLL,Access,Pass
13,SET,xpath=//input[@name='port1VlanID'],text,1,Pass
14,SET,xpath=//input[@name='port1VlanPriority'],text,0,Pass
15,CLICK,xpath=//html/body/div/div[2]/div/div/form/div/button[1],text,Apply,Pass
16,CLICK,xpath=//html/body/div/div[2]/div/div/form/div/button[2],text,Apply & Save,Pass
17,CLICK,xpath=//html/body/div/div[2]/div/div/form/div/button[3],text,Refresh,Pass
18,GET,xpath=//input[@name='port1Alias'],text,0,Pass
19,GET,xpath=//input[@name='port1Mode'],DLL,0,Pass
20,GET,xpath=//input[@name='port1VlanID'],text,1,Pass
21,GET,xpath=//input[@name='port1VlanPriority'],text,0,Pass
22,SET,xpath=//input[@name='port1Alias'],text,Sw_Eth_1,Pass
23,SET,xpath=//input[@name='defaultVlanID'],text,5,Pass
24,CLICK,xpath=//html/body/div/div[2]/div/div/form/div/button[1],text,Apply,Pass
25,CLICK,xpath=//html/body/div/div[2]/div/div/form/div/button[2],text,Apply & Save,Pass
26,CLICK,xpath=//html/body/div/div[2]/div/div/form/div/button[3],text,Refresh,Pass
27,SET,xpath=//input[@name='port1Mode'],DLL,Trunk,Pass
28,SET,xpath=//input[@name='port1UntaggedIngressFrames'],DLL,Tag,Pass
29,SET,xpath=//input[@name='port1VlanID'],text,1,Pass
30,SET,xpath=//input[@name='port1VlanPriority'],text,0,Pass
31,CLICK,xpath=//html/body/div/div[2]/div/div/form/div/button[1],text,Apply,Pass
32,CLICK,xpath=//html/body/div/div[2]/div/div/form/div/button[2],text,Apply & Save,Pass
