id,Action,FieldID,FieldType,FieldValue,Result
1,NAV,xPath,null,null,Pass
2,SET,xpath=//input[@name='systemName'],text,Connect,Pass
3,SET,xpath=//input[@name='systemDetails'],text,Device for Test,Pass
4,SET,xpath=//input[@name='systemLocation'],text,Redline Craiova Lab,Pass
5,SET,xpath=//input[@name='systemContact'],text,Corina,Pass
6,CLICK,xpath=//html/body/div/div[2]/div/div/form/div/button[1],text,Apply,Pass
7,CLICK,xpath=//html/body/div/div[2]/div/div/form/div/button[2],text,Apply & Save,Pass
8,CLICK,xpath=//html/body/div/div[2]/div/div/form/div/button[3],text,Refresh,Pass
9,GET,xpath=//input[@name='systemName'],text,Connect,Pass
10,GET,xpath=//input[@name='systemDetails'],text,Device for Test,Pass
11,GET,xpath=//input[@name='systemLocation'],text,Redline Craiova Lab,Pass
12,GET,xpath=//input[@name='systemContact'],text,Corina,Pass
13,SET,syslog_enable,checkbox,on,Pass
14,SET,xpath=//input[@name='syslog_serverIp'],text,172.16.0.211,Pass
15,CLICK,xpath=//html/body/div/div[2]/div/div/form/div/button[1],text,Apply,Pass
16,CLICK,xpath=//html/body/div/div[2]/div/div/form/div/button[2],text,Apply & Save,Pass
17,CLICK,xpath=//html/body/div/div[2]/div/div/form/div/button[3],text,Refresh,Pass
18,GET,syslog_enable,checkbox,on,Pass
19,GET,xpath=//input[@name='syslog_serverIp'],text,172.16.0.211,Pass
20,SET,syslog_enable,checkbox,off,Pass
21,CLICK,xpath=//html/body/div/div[2]/div/div/form/div/button[1],text,Apply,Pass
22,CLICK,xpath=//html/body/div/div[2]/div/div/form/div/button[2],text,Apply & Save,Pass
23,CLICK,xpath=//html/body/div/div[2]/div/div/form/div/button[3],text,Refresh,Pass
24,GET,syslog_enable,checkbox,off,Pass
